hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,season,stays_in_weekend_nights,stays_in_week_nights,total_nights,adults,children,babies,is_family,total_guests,meal,country,resort_hotel_more_200,city_hotel_more_200,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,total_revenue_from_stay,revenue_per_guest,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Resort_lead_time_bins,city_lead_time_bins
Resort Hotel,0,7,2015,July,27,1,2015-07-01,Summer,0,1,1,1,0,0,No,1,BB,GBR,Exclude,Exclude,Direct,Direct,0,0,0,A,C,0,No Deposit,No Agent,No Company,0,Transient,€75.00,75,€75.00,0,0,Check-Out,2015-07-02,0-10,
Resort Hotel,0,13,2015,July,27,1,2015-07-01,Summer,0,1,1,1,0,0,No,1,BB,GBR,Exclude,Exclude,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,No Company,0,Transient,€75.00,75,€75.00,0,0,Check-Out,2015-07-02,11-50,
Resort Hotel,0,14,2015,July,27,1,2015-07-01,Summer,0,2,2,2,0,0,No,2,BB,GBR,Exclude,Exclude,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,No Company,0,Transient,€98.00,196,€98.00,0,1,Check-Out,2015-07-03,11-50,
Resort Hotel,0,14,2015,July,27,1,2015-07-01,Summer,0,2,2,2,0,0,No,2,BB,GBR,Exclude,Exclude,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,No Company,0,Transient,€98.00,196,€98.00,0,1,Check-Out,2015-07-03,11-50,
Resort Hotel,0,0,2015,July,27,1,2015-07-01,Summer,0,2,2,2,0,0,No,2,BB,PRT,Exclude,Exclude,Direct,Direct,0,0,0,C,C,0,No Deposit,No Agent,No Company,0,Transient,€107.00,214,€107.00,0,0,Check-Out,2015-07-03,0-10,
Resort Hotel,0,9,2015,July,27,1,2015-07-01,Summer,0,2,2,2,0,0,No,2,FB,PRT,Exclude,Exclude,Direct,Direct,0,0,0,C,C,0,No Deposit,303,No Company,0,Transient,€103.00,206,€103.00,0,1,Check-Out,2015-07-03,0-10,
Resort Hotel,1,85,2015,July,27,1,2015-07-01,Summer,0,3,3,2,0,0,No,2,BB,PRT,Exclude,Exclude,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,No Company,0,Transient,€82.00,246,€123.00,0,1,Canceled,2015-05-06,51-150,
Resort Hotel,1,75,2015,July,27,1,2015-07-01,Summer,0,3,3,2,0,0,No,2,HB,PRT,Exclude,Exclude,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,No Company,0,Transient,€105.50,316.5,€158.25,0,0,Canceled,2015-04-22,51-150,
Resort Hotel,1,23,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,BB,PRT,Exclude,Exclude,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,No Company,0,Transient,€123.00,492,€246.00,0,0,Canceled,2015-06-23,11-50,
Resort Hotel,0,35,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,HB,PRT,Exclude,Exclude,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,No Company,0,Transient,€145.00,580,€290.00,0,0,Check-Out,2015-07-05,11-50,
Resort Hotel,0,68,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,BB,USA,Exclude,Exclude,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,No Company,0,Transient,€97.00,388,€194.00,0,3,Check-Out,2015-07-05,51-150,
Resort Hotel,0,18,2015,July,27,1,2015-07-01,Summer,0,4,4,2,1,0,Yes,3,HB,ESP,Exclude,Exclude,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,No Company,0,Transient,€154.77,619.08,€206.36,0,1,Check-Out,2015-07-05,11-50,
Resort Hotel,0,37,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,BB,PRT,Exclude,Exclude,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,No Company,0,Transient,€94.71,378.84,€189.42,0,0,Check-Out,2015-07-05,11-50,
Resort Hotel,0,68,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,BB,IRL,Exclude,Exclude,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,No Company,0,Transient,€97.00,388,€194.00,0,3,Check-Out,2015-07-05,51-150,
Resort Hotel,0,37,2015,July,27,1,2015-07-01,Summer,0,4,4,2,0,0,No,2,BB,PRT,Exclude,Exclude,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,No Company,0,Contract,€97.50,390,€195.00,0,0,Check-Out,2015-07-05,11-50,
Resort Hotel,0,12,2015,July,27,1,2015-07-01,Summer,0,1,1,2,0,0,No,2,BB,IRL,Exclude,Exclude,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,No Company,0,Transient,€88.20,88.2,€44.10,0,0,Check-Out,2015-07-02,11-50,
