lead_time,country,is_repeated_guest,market_segment,previous_cancellations,booking_changes,deposit_type,adr,total_of_special_requests,Cancellation_Risk,Probability_of_Cancelling
7,GBR,0,Direct,0,0,No Deposit,€75.00,0,LOW RISK ,0.028915190630202574
13,GBR,0,Corporate,0,0,No Deposit,€75.00,0,LOW RISK ,0.02956997330864942
14,GBR,0,Online TA,0,0,No Deposit,€98.00,1,LOW RISK ,0.07023517996313271
14,GBR,0,Online TA,0,0,No Deposit,€98.00,1,LOW RISK ,0.07023517996313271
0,PRT,0,Direct,0,0,No Deposit,€107.00,0,LOW RISK ,0.23164990004946232
9,PRT,0,Direct,0,0,No Deposit,€103.00,1,LOW RISK ,0.09408401485141507
85,PRT,0,Online TA,0,0,No Deposit,€82.00,1,HIGH RISK ,0.5136542420253328
75,PRT,0,Offline TA/TO,0,0,No Deposit,€105.50,0,LOW RISK ,0.334802868438938
23,PRT,0,Online TA,0,0,No Deposit,€123.00,0,HIGH RISK ,0.7139370367610671
35,PRT,0,Online TA,0,0,No Deposit,€145.00,0,HIGH RISK ,0.7416407034079696
68,USA,0,Online TA,0,0,No Deposit,€97.00,3,LOW RISK ,0.094434489633454
18,ESP,0,Online TA,0,1,No Deposit,€154.77,1,LOW RISK ,0.03559727684801811
37,PRT,0,Online TA,0,0,No Deposit,€94.71,0,HIGH RISK ,0.7134191493270596
68,IRL,0,Online TA,0,0,No Deposit,€97.00,3,LOW RISK ,0.094434489633454
37,PRT,0,Offline TA/TO,0,0,No Deposit,€97.50,0,LOW RISK ,0.28086417886642273
12,IRL,0,Online TA,0,0,No Deposit,€88.20,0,LOW RISK ,0.17982266500461355
